問題,標準答案,LLM答案,LLM答案路徑
委託專業機構辦理 App 資安檢測時，應參考哪兩個主要的資安檢測基準？,應參考 經濟部工業局「行動應用 APP 基本資安檢測基準」 與 OWASP 公布之 Mobile Top 10 項目。,"委託專業機構辦理App資安檢測時，應參考的主要資安檢測基準為：

1. 經濟部工業局「行動應用APP基本資安檢測基準」
2. OWASP公布之Mobile Top 10項目",保險業辦理資訊安全防護自律規範-2.md | 五、 > (一) > 1. | p.1-1 | all_node | node=1. || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 五、 > (一) > 1. | p.15-15 | all_node | node=1. || 保險業辦理資訊安全防護自律規範-2.md | 五、 > (三) > 4. | p.2-2 | all_node | node=4.
針對第一類 App，若偵測到行動裝置疑似遭破解（如 Root 或 Jailbreak），系統應如何提示使用者？,應提示使用者注意風險。,根據參考資料，針對第一類 App，如果系統偵測到行動裝置疑似遭破解（如 Root、Jailbreak），系統應提示使用者注意風險。,"「新興科技資通安全自律規範」完整條文-114.05.md | 第六條 > 三、 > （二） > 2. | p.4-4 | all_node | node=2. || 1110921新興科技資通安全自律規範及修正對照表.md | 第六條 > 三、 > (二) > 2. | p.3-3 | all_node | node=2. || 「新興科技資通安全自律規範」完整條文-114.05.md | 12 | p.6-13 | table_chunk | table_id=「新興科技資通安全自律規範」完整條文-114.05_table_6,row=9,col=4,chunk=1"
在雲端服務安全控管中，哪一類服務被明確排除在規範範圍之外？,被排除的是：僅提供會員公司內部使用，且不涉及客戶資料處理之服務。,在雲端服務安全管控中，被明確排除在規範範圍之外的是僅供銀行內部使用的服務。,附件1_金融機構運用新興科技作業規範1090417.md | 第二條 > 三、 | p.2-2 | all_node | node=三、 || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 二、 | p.18-18 | all_node | node=二、 || 保險業辦理資訊安全防護自律規範-3.md | 貳、 > 二、 | p.1-1 | all_node | node=二、
規範要求社群媒體的內容過濾與監視政策，應至少包含防止哪些機密或隱私外洩的情事？,應至少包含防止 客戶隱私 與 銀行／機構機密 外洩。,根據提供的參考資料，關於社群媒體的內容過濾與監視政策，至少應包含防止客戶隱私及銀行/保險公司機密外洩的情事。,"附件1_金融機構運用新興科技作業規範1090417.md | 第三條 > 六、 | p.5-5 | all_node | node=六、 || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 六、 | p.19-19 | all_node | node=六、 || 金融機構資訊系統安全基準.md |  | p.None-None | table_chunk | table_id=金融機構資訊系統安全基準_table_12,row=3,col=4,chunk=1"
根據第五條，物聯網設備的初始密碼變更，在長度與組成上有何具體建議？,密碼長度不應少於八位，建議英數字混合使用，且宜包含大小寫英文字母或符號。,根據第五條建議，物聯網設備的初始密碼長度不應少於六位，建議採英數字混合使用，且宜包含大小寫英文字母或符號。,金融機構使用物聯網設備安全控管規範_1100430.md | 第五條 | p.1-1 | all_node | node=第五條 || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 五、 | p.21-21 | all_node | node=五、 || 建立證券商資通安全檢查機制.md | 12、 > （4） > a. | p.16-16 | all_node | node=a.
若物聯網設備存在已知弱點且無法修補，應採取哪些網路連線限制或監控措施？,應限制網際網路連線能力、加強存取控制，或進行網路連線行為監控；並視需要訂定汰換期程。,"若物聯網設備存在已知弱點且無法修補或更新，應採取以下措施：

1. 切斷物聯網設備與外界的網路連線能力；
2. 加強存取控制和監控其網路連接行為；
3. 根據情況設定設備汰換時間。

這些措施符合《保險業辦理資訊安全防護自律規範》的要求，尤其是在遇到無法修補的安全漏洞時，通過限制連接和加強監控來減少風險。","保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 九、 | p.21-21 | all_node | node=九、 || 保險業辦理資訊安全防護自律規範-4.md | 九、 | p.1-1 | all_node | node=九、 || 8.FCM內控CC---柒、電腦作業與資訊提供---114.04.md |  | p.None-None | table_chunk | table_id=8.FCM內控CC---柒、電腦作業與資訊提供---114.04_table_47,row=1,col=3,chunk=2"
採用靜態密碼進行身分驗證時，密碼連續錯誤達幾次後，公司應進行妥善處理？,連續錯誤達 五次。,"根據參考資料，採用靜態密碼進行身分驗證時，當密碼連續錯誤達到五次後，公司應進行妥善處理。這方面的規定來源於多個文件和規範，但核心精神一致。

在[參考資料1]中提到：“各公司應做妥善處理”，而在[參考資料2]中則詳細說明了在這種情況下採取的措施，包括中斷連線、鎖定帳號及留存相關紀錄等。兩者的核心指導原則是一致的，即當密碼錯誤達五次後應該進行妥善處置。

因此，綜合上述資訊，採用靜態密碼進行身分驗證時，密碼連續錯誤達到幾次後，公司應進行妥善處理？答案是：密碼連續錯誤達五次。",保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 三、 > (六) | p.22-22 | all_node | node=(六) || 建立證券商資通安全檢查機制.md | 8、 > （3） > e. | p.9-9 | all_node | node=e. || 保險業辦理資訊安全防護自律規範-5.md | 三、 > (五) | p.1-1 | all_node | node=(五)
規範中定義的多因子驗證 (MFA)，其安全設計必須具有哪三項技術中的任兩項？,三項技術為：(1) 用戶與保險業所約定且無第三人知悉之資訊，如密碼、圖形鎖、手勢等；(2) 用戶所持有之設備，如密碼產生器、密碼卡、晶片卡、電腦、行動裝置、憑證載具等；(3) 用戶擁有之生物特徵，如指紋、臉部、虹膜、聲音、掌紋、靜脈、簽名等。規範要求安全設計須具備其中任兩項以上。,"根據提供的參考資料，法規中定義的多因子驗證(MFA)的安全設計必須包含以下三項技術中的任兩項：

1. 認知因素（Knowledge）
2. 物理因素（Something you have or something you are）

雖然參考資料沒有明確列出這三項技術，但根據資料來看，多因子驗證通常涉及知識、物理或生物身分認証等多重層次的確認方式。",保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 二、 > (二) | p.22-22 | all_node | node=(二) || 保險業辦理資訊安全防護自律規範-5.md | 二、 > (二) | p.1-1 | all_node | node=(二) || 保險業辦理資訊安全防護自律規範-5.md | 五、 > (五) | p.2-2 | all_node | node=(五)
在招標作業階段，若委外廠商未符合資安要求事項或服務水準，合約應如何訂定罰責？,應訂定罰責標準，並依損害程度向委外廠商進行求償或罰款。,"根據提供的參考資料，在招標作業階段若委外廠商未符合資安要求事項或服務水平，合約應如何訂定罰責：

- 依損害程度（即損失的程度）向委外廠商進行求償或罰款。

此規定可從多個文件中得出，無論是期貨業、保險業還是其他相關條文均提到這一原則。資料指出若委外廠商未能達成資安要求或服務水平標準時，需要建立一套罰責標準來對應損害程度，這可以通過求償或其他形式的懲罰實現。","「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 10 | p.6-9 | table_chunk | table_id=「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文_table_1,row=11,col=4,chunk=1 || 保險業辦理資訊安全防護自律規範-6.md | 四、 > (一) > 3. | p.1-1 | all_node | node=3. || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 四、 > (一) > 3. | p.24-24 | all_node | node=3."
驗證作業階段中，針對「系統發展類」的委外項目，應要求廠商提供何種安全性檢測證明？,應要求廠商提供資訊系統之安全性檢測證明，例如：源碼檢測、弱點掃描或滲透測試等。,"針對「系統發展類」的委外項目，在驗證作業階段中，應要求廠商提供以下的安全性檢測證明：

- 源碼檢測
- 弱點掃描
- 渗透測試

這些要求來自於保險業辦理資訊安全防護自律規範（113.07.18金管保綜字第1130138369號）和期貨業資通系統與服務供應鏈風險管理自律規範。","「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 10 | p.6-9 | table_chunk | table_id=「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文_table_2,row=15,col=4,chunk=1 || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 七、 > (二) > 2. | p.25-25 | all_node | node=2. || 保險業辦理資訊安全防護自律規範-6.md | 七、 > (二) > 2. | p.2-2 | all_node | node=2."
根據第二條，將保單內容拆分為兩部分時，「電子化保險契約條款」可以採哪兩種形式提供給保戶？,可採 QR Code 或 網址 的形式提供。,根據提供的參考資料，第二條沒有提供關於將保單內容拆分為兩部分時「電子化保險契約條款」可以採哪兩種形式的詳細信息。因此，無法完整回答這個問題。,"保險業辦理電子保單簽發及辦理電子化保險契約條款保單作業自律規範 .md | 第 一 章 > 第 2 條 > 二、 | p.2-2 | all_node | node=二、 || 保險業經營電子商務自律規範全條文(114.11.10金管保綜字第1140433678號).md | 8.5 | p.6-7 | table_chunk | table_id=保險業經營電子商務自律規範全條文(114.11.10金管保綜字第1140433678號)_table_5,row=7,col=2,chunk=1 || 保險業辦理電子保單簽發及辦理電子化保險契約條款保單作業自律規範 .md | 第 一 章 > 第 2 條 | p.2-2 | all_node | node=第 2 條"
保險業保存已簽發之電子保單交易紀錄時，對於儲存媒體與備份頻率有何要求？,應使用加密之特定媒體儲存，並委託公信第三者保存，且應定期製作備份資料。,保險業在保存已簽發的電子保單交易紀錄時，需使用加密的特定媒體來儲存這些資料，并委託公信第三人進行保管。同時，應該定期製作備份資料以確保數據的安全性和完整性。,"保險業辦理電子保單簽發及辦理電子化保險契約條款保單作業自律規範 .md | 第 二 章 > 第 4 條 | p.3-3 | all_node | node=第 4 條 || 保險業經營電子商務自律規範全條文(114.11.10金管保綜字第1140433678號).md | 第二十一條 | p.9-9 | all_node | node=第二十一條 || 保險業經營電子商務自律規範全條文(114.11.10金管保綜字第1140433678號).md | 8.5 | p.6-7 | table_chunk | table_id=保險業經營電子商務自律規範全條文(114.11.10金管保綜字第1140433678號)_table_5,row=7,col=2,chunk=1"
根據第三條，期貨商的資訊安全人員及主管每年應參加多少小時以上的資安專業課程訓練？,每年應參加 十五小時以上。,根據提供的參考資料，期貨商的資訊安全人員及主管每年應參加十五小時以上的資安專業課程訓練。,建立期貨商資通安全檢查機制_所有條文.md | 第3條 > 3、 > (3) | p.1-2 | all_node | node=(3) || 建立證券商資通安全檢查機制.md | 3、 > （3） | p.2-2 | all_node | node=（3） || 金融機構使用物聯網設備安全控管規範_1100430.md | 第十三條 | p.2-2 | all_node | node=第十三條
期貨商對於核心系統的重要組態設定檔案，應採取何種安全保護措施（如加密或儲存方式）？,應依所屬資安分級，對核心系統重要組態設定檔案及其他具保護需求之資訊，進行加密或以其他適當方式儲存。,根據參考資料1和2，期貨商對於核心系統的重要組態設定檔案，應該採取加密或以其他適當方式儲存的安全保護措施。具体来说，参考资料1提到“第一类证券商核心系统重要组态设定档案及其他具保护需求的资讯应加密或以其他适当方式储存”，而参考资料2则没有直接提到关于此点的内容，但提到了执行核心系统程式原始碼与数据备份的重要性，这间接支持了安全存储的要求。,發函附件：資通系統安全防護基準自律規範111.12.23.md | 第八條 > 七、 | p.6-6 | all_node | node=七、 || 發函附件：資通系統安全防護基準自律規範111.12.23.md | 第五條 > 二、 | p.3-3 | all_node | node=二、 || 「網路安全防護自律規範」完整條文.md | 第六條 > 三、 > (二) | p.5-5 | all_node | node=(二)
證券商對於資訊資產的資料與文件，在保存期限到期後應如何處理？,應於保存期限到期後，進行刪除與銷毀。,證券商對於資訊資產的資料與文件在保存期限到期後應該進行刪除與銷毀。這點從多個相關資料中得到確認，包括參考資料2和3都提到公司應對資訊資產之資料與文件的保存期限進行規範，并且在保存期限到期後進行刪除與銷毀。,"8.FCM內控CC---柒、電腦作業與資訊提供---114.04.md |  | p.None-None | table_chunk | table_id=8.FCM內控CC---柒、電腦作業與資訊提供---114.04_table_6,row=1,col=3,chunk=3 || 建立期貨商資通安全檢查機制_所有條文.md | 第4條 > 4、 > (4) | p.2-2 | all_node | node=(4) || 建立證券商資通安全檢查機制.md | 4、 > （4） | p.2-2 | all_node | node=（4）"
針對「異常 IP 登入」的監控，規範列舉了哪三種應設有警示機制的具體態樣？,三種態樣為：同一來源 IP 登入不同帳號達一定次數以上、同一帳號在一定時間內由不同國家登入、異常來源（如 F-ISAC 黑名單或國外 IP）嘗試登入。,"針對「異常 IP 登入」的監控，規範列舉了以下三種應設有警示機制的具體態樣：

(a)同一來源 IP 登入不同帳號達一定次數以上。
(b)同一帳號在一定時間內由不同國家登入。
(c)發現異常來源（如金融資安資訊分享與分析中心 F–ISAC公布之黑名單或國外 IP）嘗試登入。","建立證券商資通安全檢查機制.md | 7、 > （1） > l. | p.6-6 | all_node | node=l. || 建立期貨商資通安全檢查機制_所有條文.md | 第7條 > 7、 > (1) > k. | p.4-5 | all_node | node=k. || 8.FCM內控CC---柒、電腦作業與資訊提供---114.04.md |  | p.None-None | table_chunk | table_id=8.FCM內控CC---柒、電腦作業與資訊提供---114.04_table_17,row=1,col=3,chunk=2"
發行人於交易平台辦理發行之虛擬通貨（STO），其種類僅限於哪兩種類型？,僅限於 不具有股東權益之分潤型虛擬通貨 與 債務型虛擬通貨。,根據提供的參考資料，發行人於交易平台辦理發行的虛擬通貨種類僅限於分潤型虛擬通貨及債務型虛擬通貨。,"財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120.md |  | p.None-None | table_chunk | table_id=財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120_table_11,row=3,col=2,chunk=1 || 財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120.md |  | p.None-None | table_chunk | table_id=財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120_table_2,row=1,col=2,chunk=1 || 財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120.md |  | p.None-None | table_chunk | table_id=財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120_table_11,row=3,col=1,chunk=1"
專業投資人中之「自然人」，認購每一虛擬通貨募資案的金額上限是多少？,上限為 新臺幣三十萬元。,專業投資人中的「自然人」認購每一虛擬通貨募資案的金額上限是新臺幣三十萬元。,"財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120.md |  | p.None-None | table_chunk | table_id=財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120_table_15,row=1,col=1,chunk=1 || 財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120.md |  | p.None-None | table_chunk | table_id=財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120_table_15,row=1,col=2,chunk=2 || 財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120.md |  | p.None-None | table_chunk | table_id=財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120_table_15,row=3,col=2,chunk=1"
本注意事項所定義的「重大性」委託作業，包含哪三種具體情形？,包含三種情形：(1) 委外作業無法提供服務或有資訊安全疑慮，對期貨商業務營運有重大影響者；(2) 委外作業涉及客戶資料安全事件，對期貨商或客戶權益有重大影響者；(3) 其他委外作業對期貨商或客戶權益有重大影響者。,根據提供的參考資料，本注意事項所定義的「重大性」委託作業並未明確列出具體包含哪三種具體情形。因此，無法從提供的資料中得出答案。,"2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_3,row=1,col=3,chunk=4 || 2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_26,row=1,col=3,chunk=3 || 金融機構資訊系統安全基準.md |  | p.None-None | table_chunk | table_id=金融機構資訊系統安全基準_table_29,row=21,col=4,chunk=1"
期貨商辦理跨境委外作業時，其當年度的查核報告應在年度終了後多久內提報董事會？,應於每年年度終了後四個月內提報董事會報告。,根據參考資料1的內容，期貨商辦理跨境委外作業時，其當年度的查核報告應在年度終了後四個月內提報董事會。,"期貨商作業委託他人處理應注意事項逐點說明.md |  | p.None-None | table_chunk | table_id=期貨商作業委託他人處理應注意事項逐點說明_table_11,row=1,col=2,chunk=3 || 9.FCM內控CM---捌、管理控制制度---114.04.md |  | p.None-None | table_chunk | table_id=9.FCM內控CM---捌、管理控制制度---114.04_table_22,row=1,col=3,chunk=1 || 9.FCM內控CM---捌、管理控制制度---114.04.md |  | p.None-None | table_chunk | table_id=9.FCM內控CM---捌、管理控制制度---114.04_table_29,row=1,col=3,chunk=4"
法人採通信或電子化方式開戶時，對於公司的股東人數與國籍身分有何限制？,限於本國公司法登記股東為三人以下之公司，且其負責人及股東均須為本國國籍成年自然人。,"法人採用通信或電子化方式開戶時，公司必須符合以下條件：

- 股東人數不能超過3人。
- 負責人及股東均需為本國國籍的成年自然人。

此規範來自多份資料，但內容大同小異。","2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_34,row=1,col=3,chunk=1 || 2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_36,row=1,col=2,chunk=1 || 2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_35,row=1,col=2,chunk=1"
委託人在網頁簽署開戶契約前，系統對於其閱讀完整內容的時間有何防護設計？,系統應要求：從點選進入相關內容到同意簽署確認前，畫面停留時間須以可以適當閱讀完整內容為依據。,根據提供的參考資料，對於委託人在網頁簽署開戶契約前的防護設計並未有明確提及。因此，無法從這些資料中獲得委託人閱讀完整內容所需時間的相關資訊。,"金融機構資訊系統安全基準.md |  | p.None-None | table_chunk | table_id=金融機構資訊系統安全基準_table_28,row=5,col=4,chunk=1 || 金融機構資訊系統安全基準.md |  | p.None-None | table_chunk | table_id=金融機構資訊系統安全基準_table_11,row=5,col=4,chunk=1 || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 12.120.8.4 | p.137-160 | table_chunk | table_id=金融機構辦理電子銀行業務安全控管作業基準含附錄1150107_table_119,row=7,col=5,chunk=1"
期貨商發生重大資安事件時，應於知悉事件後多久時間內完成初步通報？,應於 30 分鐘內 完成初步（正式）通報。,"根據提供的參考資料，期貨商在知悉重大資安事件後應於7個營業日內完成初步通報。這來自於第一則參考資料中的描述：""期貨商應於通報重大資安事件後，於七個營業日內向臺灣期貨交易所函報詳細資料""。","期貨商通報重大資安事件之範圍申報程序及其他應遵循事項(112.11.24訂定).md | 三、 > (二) | p.2-2 | all_node | node=(二) || 財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120.md |  | p.None-None | table_chunk | table_id=財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120_table_11,row=1,col=1,chunk=2 || 期貨商通報重大資安事件之範圍申報程序及其他應遵循事項(112.11.24訂定).md | 三、 > (一) | p.1-2 | all_node | node=(一)"
對於核心系統異常，需滿足哪些特定條件（如影響時數或次數）才符合申報標準？,核心系統異常若在開盤期間影響交易達 2 小時以上未能恢復，或在10 日內就同一資安、系統異常事件通報次數達 3 次以上，即屬重大資安事件申報標準。,"根據提供的參考資料，對於核心系統異常需滿足的特定條件來符合申報標準包括：

1. 影響時數：開盤期間影響交易達2小時以上未能恢復。
2. 系統異常次數：於10日內就同一資安、系統異常事件通報次數達3次以上。

這兩項條件中的任一項皆符合時，該核心系統異常需申報。",發函附件：資通系統安全防護基準自律規範111.12.23.md | 第五條 > 一、 | p.3-3 | all_node | node=一、 || 期貨商通報重大資安事件之範圍申報程序及其他應遵循事項(112.11.24訂定).md | 二、 > (一) | p.1-1 | all_node | node=(一) || 發函附件：資通系統安全防護基準自律規範111.12.23.md | 第五條 > 六、 | p.4-4 | all_node | node=六、
證券商在評選資訊服務供應商時，應評估其「集中度」並注意什麼樣的風險控管原則？,應評估資訊服務供應商的集中度與作業能力，並採取適當風險管控措施，且應注意適度分散委外對象，以控管作業風險。,證券商在評選資訊服務供應商時，應該評估其「集中度」並採取適當的風險管控措施。這包括評估資訊服務供應商的操作能力，確保委外處理工作的品質，以及注意將作業委託給資訊服務供應商的適度分散以控管操作風險。證券商需要這些評估結果獲得資訊部門主管的核准，並根據公司的權限層次進行處理。,"發函附件：供應鏈風險管理自律規範111.12.23.md | 第三條 > 一、 | p.2-2 | all_node | node=一、 || 建立證券商資通安全檢查機制.md | 9、 > （4） > b. | p.11-11 | all_node | node=b. || 8.FCM內控CC---柒、電腦作業與資訊提供---114.04.md |  | p.None-None | table_chunk | table_id=8.FCM內控CC---柒、電腦作業與資訊提供---114.04_table_30,row=1,col=3,chunk=4"
第一類證券商在採購服務或產品時，應載明於規劃設計時納入哪兩項安全機制（Security/Privacy by design）？,應載明於規劃設計時納入：(1) 機敏資料保護、授權與認證、安全性更新等資通安全機制，以及 (2) 隱私保護機制（Privacy by design）。,"根據提供的參考資料，第一類證券商在採購服務或產品時，應載明於規劃設計時納入的兩項安全機制為：

1. 隱私保護機制（Privacy by design）
2. 機敏資料保護

這兩項內容分別來自第二和第三則參考資料。",發函附件：供應鏈風險管理自律規範111.12.23.md | 第四條 > 一、 > (二) > 4. | p.4-4 | all_node | node=4. || 「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第四條 > 一、 > (二) > 4. | p.4-4 | all_node | node=4. || 發函附件：供應鏈風險管理自律規範111.12.23.md | 第四條 > 一、 > (二) > 3. | p.3-4 | all_node | node=3.
根據第三條，第一類證券商應針對核心系統定義何種時間限制，並在逾越時自動登出？,應定義核心系統的閒置時間或可使用期限；當逾越所定許可閒置時間或可使用期限時，系統宜自動將使用者帳號登出。,根據參考資料，第一類證券商應針對核心系統定義閒置時間或使用期限與使用情況及條件，包括帳號類型與功能限制、操作時段限制、來源位址限制、連線數量及可存取資源等。關於逾越所定之許可閒置時間或可使用期限時的自動登出機制，則在參考資料中沒有提及。因此，無法進一步確定第一類證券商是否需要針對此設定了具體時間限制和自動登出機制。,發函附件：資通系統安全防護基準自律規範111.12.23.md | 第三條 > 五、 | p.2-2 | all_node | node=五、 || 發函附件：資通系統安全防護基準自律規範111.12.23.md | 第三條 > 四、 | p.2-2 | all_node | node=四、 || 發函附件：資通系統安全防護基準自律規範111.12.23.md | 第五條 > 一、 | p.3-3 | all_node | node=一、
對於「電子式交易資通系統」，身分驗證失敗達幾次後應予以鎖定帳號，且鎖定時間至少多久？,一般資通系統帳號登入驗證失敗達 3 次後，至少 15 分鐘內不得再嘗試登入；若屬電子式交易資通系統，密碼輸入錯誤達 3 次時，應記錄失敗事件、鎖定帳號並中斷連線。,"根據提供的參考資料，對於電子式交易資通系統，使用者密碼輸入錯誤次數達三次後應予以鎖定帳號。但由於兩則參考資料都提到了身分驗證失敗後的鎖定時間不同，因此無法精確統一回答。

第一則資料提到：
- 身分驗證失敗達三次者，需記錄登入失敗事件、鎖定該帳號並中斷連線
- 然後，在特定情況下（受理解除申請）可以解除鎖定，但需要確實辨認身份

第二則資料提到：
- 買單系統具備帳戶鎖定機制，身分驗證失敗三次者至少需鎖定十五分鐘不允許再試圖登入
- 若有更佳規範的外國證券商，可從其標準行事；若無，則須遵守國內規範

因此，在這兩則資料之間並沒有明確一致的答案，但最接近的回答是身分驗證失敗三次後需鎖定帳號至少十五分鐘。",發函附件：資通系統安全防護基準自律規範111.12.23.md | 第六條 > 六、 | p.4-4 | all_node | node=六、 || 發函附件：資通系統安全防護基準自律規範111.12.23.md | 第六條 > 五、 | p.4-4 | all_node | node=五、 || 建立證券商資通安全檢查機制.md | 8、 > （3） > e. | p.9-9 | all_node | node=e.
證券商在進行網路區域劃分時，應獨立劃分出哪些工作網段以落實網段隔離？,應至少依業務運作獨立劃分如：隔離區（DMZ）、營運區（Production）、**測試區（UT 或 UAT）**及其他必要網段。,"根據提供的參考資料，證券商在進行網路區域劃分時，應獨立劃分出工作網段以落實網段隔離。具體來說：

1. 為確保網路架構安全，證券商應該獨立劃分各工作區域並實現網段隔離。
2. 具體方式可依據組織內部單位、部門、業務性質等，規範不同網段間的存取。

因此，證券商在進行網路區域劃分時，應獨立劃分出適用於不同工作的網段。",「網路安全防護自律規範」完整條文.md | 第三條 > 二、 > (一) | p.2-2 | all_node | node=(一) || 發函附件：網路安全防護自律規範111.12.23.md | 第三條 > 二、 > (一) | p.2-2 | all_node | node=(一) || 發函附件：網路安全防護自律規範111.12.23.md | 第三條 > 二、 > (四) | p.2-2 | all_node | node=(四)
證券商對於已達到生命週期終止（EOS/EOL）之網路設備，應採取什麼樣的管理作為？,應避免使用 EOS/EOL 網路設備，並應針對這類設備擬定汰除相關計畫。,"證券商對於已達到生命週期終止（EOS/EOL）之網路設備，應採取的管理作為包括：
1. 避免使用這些網絡設備。
2. 結合上述兩個文件的內容及參考資料3表格中的信息，證券公司需要為EOS/EOL 的網絡設備制定一項計劃以進行淘汰。","發函附件：網路安全防護自律規範111.12.23.md | 第四條 > 一、 > (一) | p.2-3 | all_node | node=(一) || 「網路安全防護自律規範」完整條文.md | 第四條 > 一、 > (一) | p.3-3 | all_node | node=(一) || 8.FCM內控CC---柒、電腦作業與資訊提供---114.04.md |  | p.None-None | table_chunk | table_id=8.FCM內控CC---柒、電腦作業與資訊提供---114.04_table_10,row=1,col=3,chunk=7"
在本基準中，定義「重要的資料」或「重要的本體裝置」時，主要考量的三項準則為何？,三項準則是：(1) 發生問題時會在金融服務功能面影響多數客戶且不易有替代方案；(2) 一旦被破壞或竄改，會對資訊系統運轉造成極大影響；(3) 客戶資料本身。,"在本基準中，定義「重要的資料」或「重要的本體裝置」時，主要考量的三項準則為：

1. 為保護安置資訊系統的建築物、設備等不受天然災害的危害；
2. 在設備方面考慮對策；
3. 避免非法行為的發生。","金融機構資訊系統安全基準.md | 參、 > (伍) > 一、 | p.9-9 | all_node | node=一、 || 金融機構資訊系統安全基準.md | 3.8.32.1.4 | p.608-626 | table_chunk | table_id=金融機構資訊系統安全基準_table_1246,row=1,col=1,chunk=1 || 金融機構資訊系統安全基準.md | 3.8.32.1.4 | p.608-626 | table_chunk | table_id=金融機構資訊系統安全基準_table_1246,row=1,col=2,chunk=1"
