問題,標準答案,LLM答案,LLM答案路徑
第十九條規定，對於未經消費者授權之交易所產生的爭議，保險業與消費者的責任歸屬原則為何？,原則上，除非消費者有故意或重大過失，否則未經授權之交易由消費者不負責任；保險業並應協調合作金融機構協助處理爭議。,根據參考資料，第十九條規定對於未經消費者授權的交易產生爭議時，保險業與消費者之間的責任歸屬原則為：除消費者有故意或重大過失者外，消費者不須負擔責任。这意味着在未得到消費者授權的情況下進行的交易所導致的爭議，除非消費者存在故意或重大過失，否則消費者不需要承擔這類消費爭議的责任。,保險業經營電子商務自律規範全條文(114.11.10金管保綜字第1140433678號).md | 第十九條 > 四、 | p.8-9 | leaf | context=第十九條 > 四、 || 保險業經營電子商務自律規範全條文(114.11.10金管保綜字第1140433678號).md | 第十七條 > 二、 | p.8-8 | leaf | context=第十七條 > 二、 || 保險業經營電子商務自律規範全條文(114.11.10金管保綜字第1140433678號).md | 第十七條 > 五、 | p.8-8 | leaf | context=第十七條 > 五、
根據第四條，員工職務異動或離職時，應依據何種程序處理其資訊資產與存取權限？,應依公司既定程序辦理資訊資產退回，並辦理存取權限之變更或取消。,根據參考資料1中的第四條第五款，員工職務異動或離職時，應依據既定程序處理其資訊資產與存取權限。,保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 4 條 > 五、 | p.1-1 | leaf | context=第 4 條 > 五、 || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 4 條 > 一、 | p.2-2 | leaf | context=第 4 條 > 一、 || 建立期貨商資通安全檢查機制_所有條文.md | 第4條 > 4、 > (4) | p.2-2 | leaf | context=第4條 > 4、 > (4)
對於第一類及第二類電腦系統的權限配發，應遵循哪兩項核心原則（Least Privilege 與 Need-to-know）？,目前在已上傳保險業規範中，可明確找到的是最小權限原則；但「Need-to-know（知悉必要）」在目前可檢索內容中未找到明文。因此可確認的答案是：應遵循最小權限原則；至於「知悉必要原則」目前無法以現有檔案直接證實。,"對於第一類及第二類電腦系統的權限配發，應遵循以下兩項核心原則：

1. 最小權限（Least Privilege）
2. 然知原則（Need-to-know）",金融機構資通安全防護基準.md | 第四條 > 十二、 | p.2-2 | leaf | context=第四條 > 十二、 || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 4 條 > 十二、 | p.2-3 | leaf | context=第 4 條 > 十二、 || 金融機構資通安全防護基準.md | 第九條 > 一、 | p.4-4 | leaf | context=第九條 > 一、
委託專業機構辦理 App 資安檢測時，應參考哪兩個主要的資安檢測基準？,應參考 經濟部工業局「行動應用 APP 基本資安檢測基準」 與 OWASP 公布之 Mobile Top 10 項目。,委託專業機構辦理App資安檢測時，應參考的主要資安檢測基準為工業局的「動態應用APP基本資安檢測基準」以及OWASP公布的手機Top 10項目。,保險業辦理資訊安全防護自律規範-2.md | 五、 > (一) > 1. | p.1-1 | leaf | context=五、 > (一) > 1. || 保險業辦理資訊安全防護自律規範-2.md | 五、 > (三) > 4. | p.2-2 | leaf | context=五、 > (三) > 4. || 保險業辦理資訊安全防護自律規範-2.md | 五、 > (二) | p.1-1 | leaf | context=五、 > (二)
針對第一類 App，若偵測到行動裝置疑似遭破解（如 Root 或 Jailbreak），系統應如何提示使用者？,應提示使用者注意風險。,系統應提示使用者注意行動裝置可能已被 Root 或 Jailbreak 等方式破解的風險，並限制辦理電子轉帳及非約定轉賬服務。,附件1_金融機構提供行動裝置應用程式作業規範.md | 第五條 | p.2-2 | leaf | context=第五條 || 附件1_金融機構提供行動裝置應用程式作業規範.md | 第二條 > 二、 | p.1-1 | leaf | context=第二條 > 二、 || 保險業辦理資訊安全防護自律規範-2.md | 七、 | p.2-2 | leaf | context=七、
在雲端服務安全控管中，哪一類服務被明確排除在規範範圍之外？,被排除的是：僅提供會員公司內部使用，且不涉及客戶資料處理之服務。,僅提供銀行內部使用的服務被明確排除在雲端服務安全控管的規範範圍之外。,保險業辦理資訊安全防護自律規範-3.md | 貳、 > 二、 | p.1-1 | leaf | context=貳、 > 二、 || 附件1_金融機構運用新興科技作業規範1090417.md | 第二條 > 三、 | p.2-2 | leaf | context=第二條 > 三、 || 保險業辦理資訊安全防護自律規範-3.md | 貳、 > 二、 | p.2-2 | leaf | context=貳、 > 二、
規範要求社群媒體的內容過濾與監視政策，應至少包含防止哪些機密或隱私外洩的情事？,應至少包含防止 客戶隱私 與 銀行／機構機密 外洩。,根據提供的參考資料，規範要求社群媒體的內容過濾與監視政策至少應防止客戶隱私及銀行機密外洩。此外，還包含非授權或偽冒身分發言、攻擊或詆毀同業的情事。,附件1_金融機構運用新興科技作業規範1090417.md | 第三條 > 六、 | p.5-5 | leaf | context=第三條 > 六、 || 「新興科技資通安全自律規範」完整條文-114.05.md | 第五條 > 二、 | p.3-3 | leaf | context=第五條 > 二、 || 1110921新興科技資通安全自律規範及修正對照表.md | 第五條 > 二、 | p.2-2 | leaf | context=第五條 > 二、
根據第五條，物聯網設備的初始密碼變更，在長度與組成上有何具體建議？,密碼長度不應少於八位，建議英數字混合使用，且宜包含大小寫英文字母或符號。,根據參考資料1和2的內容，物聯網設備的初始密碼變更建議在長度上不應少於六位，并建議採用英數字混合使用。但兩者對於密碼組成的具體要求有所不同：參考資料1提到宜包含大小寫英文字母或符號，而參考資料2則未提及此點，只指出應採用英數字混合使用，且建議包含大小寫英文字母或符號（僅根據第二段）。因此，從兩者提供的信息來看，在密碼組成上沒有具體的統一建議。,金融機構使用物聯網設備安全控管規範_1100430.md | 第五條 | p.1-1 | leaf | context=第五條 || 保險業辦理資訊安全防護自律規範-4.md | 五、 | p.1-1 | leaf | context=五、 || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 五、 | p.21-21 | leaf | context=第 22 條 > 五、
若物聯網設備存在已知弱點且無法修補，應採取哪些網路連線限制或監控措施？,應限制網際網路連線能力、加強存取控制，或進行網路連線行為監控；並視需要訂定汰換期程。,"若物聯網設備存在已知弱點且無法修補或更新，應採取的措施包括：

1. 限制網路連線能力。
2. 加強存取控制。
3. 进行網路連線活動監控。

這些措施需視需要訂定汰換期程。",保險業辦理資訊安全防護自律規範-4.md | 九、 | p.1-1 | leaf | context=九、 || 金融機構使用物聯網設備安全控管規範_1100430.md | 第十條 | p.2-2 | leaf | context=第十條 || 金融機構使用物聯網設備安全控管規範_1100430.md | 第九條 | p.2-2 | leaf | context=第九條
採用靜態密碼進行身分驗證時，密碼連續錯誤達幾次後，公司應進行妥善處理？,連續錯誤達 五次。,根據提供的參考資料，採用靜態密碼進行身份驗證時，當密碼連續錯誤達五次，公司應進行妥善處理。這可以在參考資料1中的相關規則中找到明確的指示。,保險業辦理資訊安全防護自律規範-5.md | 三、 > (五) | p.1-1 | leaf | context=三、 > (五) || 保險業辦理資訊安全防護自律規範-5.md | 三、 > (九) | p.1-1 | leaf | context=三、 > (九) || 發函附件：資通系統安全防護基準自律規範111.12.23.md | 第六條 > 六、 | p.4-4 | leaf | context=第六條 > 六、
規範中定義的多因子驗證 (MFA)，其安全設計必須具有哪三項技術中的任兩項？,三項技術為：(1) 用戶與保險業所約定且無第三人知悉之資訊，如密碼、圖形鎖、手勢等；(2) 用戶所持有之設備，如密碼產生器、密碼卡、晶片卡、電腦、行動裝置、憑證載具等；(3) 用戶擁有之生物特徵，如指紋、臉部、虹膜、聲音、掌紋、靜脈、簽名等。規範要求安全設計須具備其中任兩項以上。,"根據提供的參考資料，多因子驗證(MFA)的安全設計必須具備下列三項任兩項技術：

(a) 公司所約定之資訊，且無第三人知悉（如固定密碼、圖形鎖或手勢等）。

(b) 客戶所持有之實體設備（如密碼產生器、密碼卡、晶片卡、電腦、行動裝置、憑證載具等），公司應確認該設備為客戶與公司約定持有的設備。

(c) 客戶提供給公司其所擁有的生物特徵（如指紋、臉部、虹膜、聲音、掌紋、靜脈、簽名等），公司應直接或間接驗證該生物特徵。",保險業辦理資訊安全防護自律規範-5.md | 二、 > (二) | p.1-1 | leaf | context=二、 > (二) || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 二、 > (二) | p.22-22 | leaf | context=第 22 條 > 二、 > (二) || 建立證券商資通安全檢查機制.md | 7、 > （1） > d. | p.4-5 | leaf | context=7、 > （1） > d.
在招標作業階段，若委外廠商未符合資安要求事項或服務水準，合約應如何訂定罰責？,應訂定罰責標準，並依損害程度向委外廠商進行求償或罰款。,在招標作業階段，若委外廠商未符合資安要求事項或服務水準，合約應訂定罰責標準，依損害程向委外廠商求償或罰款。,保險業辦理資訊安全防護自律規範-6.md | 四、 > (一) > 3. | p.1-1 | leaf | context=四、 > (一) > 3. || 保險業辦理資訊安全防護自律規範-6.md | 五、 > (一) | p.2-2 | leaf | context=五、 > (一) || 保險業辦理資訊安全防護自律規範-6.md | 五、 > (一) | p.2-2 | leaf | context=五、 > (一)
驗證作業階段中，針對「系統發展類」的委外項目，應要求廠商提供何種安全性檢測證明？,應要求廠商提供資訊系統之安全性檢測證明，例如：源碼檢測、弱點掃描或滲透測試等。,根據提供的參考資料，針對「系統發展類」的委外項目，應要求廠商提供資訊系統的安全性檢測證明，如：源碼檢測、弱點掃描或滲透測試等。這些資料均表明在驗收程序中需要安全性檢測證明來確保交付之系統無惡意程式及後門程式。,保險業辦理資訊安全防護自律規範-6.md | 七、 > (二) > 2. | p.2-2 | leaf | context=七、 > (二) > 2. || 建立證券商資通安全檢查機制.md | 9、 > （4） > c. | p.11-11 | leaf | context=9、 > （4） > c. || 保險業辦理資訊安全防護自律規範-6.md | 七、 > (二) > 1. | p.2-2 | leaf | context=七、 > (二) > 1.
根據第二條，將保單內容拆分為兩部分時，「電子化保險契約條款」可以採哪兩種形式提供給保戶？,可採 QR Code 或 網址 的形式提供。,"根據第二條，電子化保險契約條款可以採用兩種形式提供給保戶：

1. 印製於紙本文件中的 QR Code 形式；
2. 載於電子文件中的網址形式。",保險業辦理電子保單簽發及辦理電子化保險契約條款保單作業自律規範 .md | 第 一 章 > 第 2 條 > 二、 | p.2-2 | leaf | context=第 一 章 > 第 2 條 > 二、 || 保險業辦理電子保單簽發及辦理電子化保險契約條款保單作業自律規範 .md | 第 一 章 > 第 2 條 > 一、 | p.2-2 | leaf | context=第 一 章 > 第 2 條 > 一、 || 保險業辦理電子保單簽發及辦理電子化保險契約條款保單作業自律規範 .md | 第 五 章 > 第 17 條 | p.7-7 | leaf | context=第 五 章 > 第 17 條
保險業保存已簽發之電子保單交易紀錄時，對於儲存媒體與備份頻率有何要求？,應使用加密之特定媒體儲存，並委託公信第三者保存，且應定期製作備份資料。,根據參考資料1和3，對於儲存媒體的要求是使用加密的特定媒體來儲存已簽發的電子保單交易紀錄。而備份頻率方面，僅有參考資料1提及定期製作備份資料。因此，可以得出的答案為：保險業在保存已簽發的電子保單交易紀錄時，應使用加密的特定媒體進行儲存並委託公信的第三方保管；此外，還需要定期製作備份資料。,保險業辦理電子保單簽發及辦理電子化保險契約條款保單作業自律規範 .md | 第 二 章 > 第 4 條 | p.3-3 | leaf | context=第 二 章 > 第 4 條 || 保險業經營電子商務自律規範全條文(114.11.10金管保綜字第1140433678號).md | 第二十一條 | p.9-9 | leaf | context=第二十一條 || 保險業辦理電子保單簽發及辦理電子化保險契約條款保單作業自律規範 .md | 第 二 章 > 第 3 條 > 三、 | p.3-3 | leaf | context=第 二 章 > 第 3 條 > 三、
根據第三條，期貨商的資訊安全人員及主管每年應參加多少小時以上的資安專業課程訓練？,每年應參加 十五小時以上。,根據提供的參考資料，第三條規定期貨商的信息安全人員及主管每年應參加十五小時以上的資安專業課程訓練。因此，答案是：十五小時。,建立期貨商資通安全檢查機制_所有條文.md | 第3條 > 3、 > (3) | p.1-2 | leaf | context=第3條 > 3、 > (3) || 建立期貨商資通安全檢查機制_所有條文.md | 第5條 > 5、 > (3) | p.2-2 | leaf | context=第5條 > 5、 > (3) || 建立期貨商資通安全檢查機制_所有條文.md | 第5條 > 5、 > (4) | p.2-2 | leaf | context=第5條 > 5、 > (4)
期貨商對於核心系統的重要組態設定檔案，應採取何種安全保護措施（如加密或儲存方式）？,應依所屬資安分級，對核心系統重要組態設定檔案及其他具保護需求之資訊，進行加密或以其他適當方式儲存。,根據提供的參考資料，對於期貨商的核心系統的重要組態設定檔案，應採取的安全保護措施包括加密。具體來說，在組態設定檔傳送及儲存時，應透過有效憑證、雜湊(Hash)或加密等機制以確保資料的傳送及儲存安全。,建立期貨商資通安全檢查機制_所有條文.md | 第9條 > 9、 > (11) > b. | p.8-8 | leaf | context=第9條 > 9、 > (11) > b. || 建立期貨商資通安全檢查機制_所有條文.md | 第7條 > 7、 > (2) > c. | p.5-5 | leaf | context=第7條 > 7、 > (2) > c. || 建立期貨商資通安全檢查機制_所有條文.md | 第8條 > 8、 > (5) > c. | p.6-6 | leaf | context=第8條 > 8、 > (5) > c.
證券商對於資訊資產的資料與文件，在保存期限到期後應如何處理？,應於保存期限到期後，進行刪除與銷毀。,根據參考資料1和參考資料2的內容，證券商對於資訊資產的資料與文件在保存期限到期後應進行刪除與銷毀。參考資料3中並未提及這一具體細節，但其總體精神是強調證券商需要遵循資安要求，在關係結束時立即停止相關權限，并請供應商銷毀或證明銷毀屬於組織的信息資產和營業秘密。,建立證券商資通安全檢查機制.md | 4、 > （4） | p.2-2 | leaf | context=4、 > （4） || 建立期貨商資通安全檢查機制_所有條文.md | 第4條 > 4、 > (4) | p.2-2 | leaf | context=第4條 > 4、 > (4) || 發函附件：供應鏈風險管理自律規範111.12.23.md | 第八條 > (一) | p.5-6 | leaf | context=第八條 > (一)
針對「異常 IP 登入」的監控，規範列舉了哪三種應設有警示機制的具體態樣？,三種態樣為：同一來源 IP 登入不同帳號達一定次數以上、同一帳號在一定時間內由不同國家登入、異常來源（如 F-ISAC 黑名單或國外 IP）嘗試登入。,"根據提供的參考資料，針對「異常 IP 登入」的監控，規範列舉了以下三種應設有警示機制的具體態樣：

(a)同一來源IP登入不同帳號達一定次數以上。

(b)同一帳號在一定時間內由不同國家登入。

(c)發現異常來源（如金融資安資訊分享與分析中心 F–ISAC公布之黑名單或國外 IP）嘗試登入。",建立證券商資通安全檢查機制.md | 7、 > （1） > l. | p.6-6 | leaf | context=7、 > （1） > l. || 建立期貨商資通安全檢查機制_所有條文.md | 第7條 > 7、 > (1) > k. | p.4-5 | leaf | context=第7條 > 7、 > (1) > k. || 金融機構資訊系統安全基準.md | 參、 > (陸) > 三、 > (五) > 1、 > (1) > b. | p.462-462 | leaf | context=參、 > (陸) > 三、 > 1、 > (1) > b.
發行人於交易平台辦理發行之虛擬通貨（STO），其種類僅限於哪兩種類型？,僅限於 不具有股東權益之分潤型虛擬通貨 與 債務型虛擬通貨。,根據提供的參考資料，發行人於交易平台辦理發行的虛擬通貨（STO）種類僅限於ATM之存提款服務和任一金融機構同一統一編號帳戶間轉帳、定存或投資這兩種類型。,金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第七條 > 一、 > (二) > ２、 > (２) | p.9-9 | leaf | context=第七條 > 一、 > (二) > ２、 > (２) || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第七條 > 一、 > (二) > ２、 > (６) | p.9-9 | leaf | context=第七條 > 一、 > (二) > ２、 > (６) || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第七條 > 一、 > (一) > ２、 > (２) | p.7-7 | leaf | context=第七條 > 一、 > (一) > ２、 > (２)
專業投資人中之「自然人」，認購每一虛擬通貨募資案的金額上限是多少？,上限為 新臺幣三十萬元。,根據提供的參考資料，無法直接得出專業投資人中之「自然人」認購每一虛擬通貨募資案的金額上限。以上兩則資料均談論的是傳統金融交易中的保證金使用限制和身分確認方式，而非針對虛擬通貨募資案的特定規定。因此，對於這類問題，資料不足以提供完整答案。,期貨商受理通信或電子化方式開戶應行注意事項.md | 8. | p.2-3 | leaf | context=8. || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第八條 > 二、 > (六) > １、 | p.13-13 | leaf | context=第八條 > 二、 > (六) > １、 || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第八條 > 二、 > (六) > ３、 | p.13-13 | leaf | context=第八條 > 二、 > (六) > ３、
本注意事項所定義的「重大性」委託作業，包含哪三種具體情形？,包含三種情形：(1) 委外作業無法提供服務或有資訊安全疑慮，對期貨商業務營運有重大影響者；(2) 委外作業涉及客戶資料安全事件，對期貨商或客戶權益有重大影響者；(3) 其他委外作業對期貨商或客戶權益有重大影響者。,根據提供的參考資料，並未明確列出三種具體情形的「重大性」委託作業。因此，無法從這些資料中直接回答問題。,附件1_金融機構資通系統與服務供應鏈風險管理規範_v2025.9.30.md | 第六條 > 三、 | p.3-3 | leaf | context=第六條 > 三、 || 金融機構資訊系統安全基準.md | 參、 > (陸) > 三、 > (八) > 3、 > (1) | p.478-478 | leaf | context=參、 > (陸) > 三、 > (八) > 3、 > (1) || 保險業辦理資訊安全防護自律規範-6.md | 一、 | p.1-1 | leaf | context=一、
期貨商辦理跨境委外作業時，其當年度的查核報告應在年度終了後多久內提報董事會？,應於每年年度終了後四個月內提報董事會報告。,根據提供的參考資料，期貨商辦理跨境委外作業時，其當年度的查核報告應在年度終了後每年至少一次提報董事會。這是基於第一個參考資料中的第七條第2款內容。,「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第七條 > 二、 | p.6-6 | leaf | context=第七條 > 二、 || 「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第七條 > 一、 | p.5-6 | leaf | context=第七條 > 一、 || 發函附件：供應鏈風險管理自律規範111.12.23.md | 第七條 > 二、 | p.5-5 | leaf | context=第七條 > 二、
法人採通信或電子化方式開戶時，對於公司的股東人數與國籍身分有何限制？,限於本國公司法登記股東為三人以下之公司，且其負責人及股東均須為本國國籍成年自然人。,"法人採通信或電子化方式開戶時，對公司股東人數與國籍身份的限制如下：

1. **股東人數**: 只接受股東少於3人的公司開戶。  
2. **責任人及股東的身份**: 責任人及所有股東均需要為本國國籍的年滿成人自然人。

這些限制來自第[參考資料2]中的描述，該文件特別提到對法人採用電子或通信方式開戶的情況下，其要求非常嚴格。",期貨商受理通信或電子化方式開戶應行注意事項.md | 8. | p.2-3 | leaf | context=8. || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第八條 > 三、 > (三) > ５、 > (２) | p.18-18 | leaf | context=第八條 > 三、 > (三) > ５、 > (２) || 附件1_金融機構使用電子簽名機制安全控管作業規範_20240306.md | 第四條 > 一、 > (三) | p.3-3 | leaf | context=第四條 > 一、 > (三)
委託人在網頁簽署開戶契約前，系統對於其閱讀完整內容的時間有何防護設計？,系統應要求：從點選進入相關內容到同意簽署確認前，畫面停留時間須以可以適當閱讀完整內容為依據。,"根據提供的參考資料，委託人在網頁簽署開戶契約前的系統對於其閱讀完整內容的時間防護設計主要是設定畫面停留間隔讓讀者可以適當閱讀該完整內容。這主要來自於以下兩則資料：

- 第一則資料指出，在點選進入相關內容後至同意簽署確認前，畫面停留的時間以適當地讓讀者閱讀整份文件為依據。
- 第二則資料提到應設計連線(Session)控制及網頁逾時(TimeOut)中斷機制，客戶若超過十分鐘未使用則會中斷其連線或採取保護措施。這意味著如果用戶沒有立即簽署，系統可能會自動中止連接，迫使用戶重新開始閱讀和簽署過程。

因此，委託人在簽署前有充足時間閱讀合同內容的設計目標，但也會有一定的時間限制來確保當他們未迅速操作時不會因疏忽而遺漏重要細節。",期貨商受理通信或電子化方式開戶應行注意事項.md | 2. | p.3-3 | leaf | context=2. || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 第九條 > 一、 > (二) | p.21-21 | leaf | context=第九條 > 一、 > (二) || 發函附件：資通系統安全防護基準自律規範111.12.23.md | 第七條 > 七、 | p.5-5 | leaf | context=第七條 > 七、
期貨商發生重大資安事件時，應於知悉事件後多久時間內完成初步通報？,應於 30 分鐘內 完成初步（正式）通報。,根據參考資料，期貨商發生重大資安事件時，應在知悉事件後七個營業日內完成初步通報。,期貨商通報重大資安事件之範圍申報程序及其他應遵循事項(112.11.24訂定).md | 三、 > (二) | p.2-2 | leaf | context=三、 > (二) || 期貨商通報重大資安事件之範圍申報程序及其他應遵循事項(112.11.24訂定).md | 三、 > (一) | p.1-2 | leaf | context=三、 > (一) || 期貨商通報重大資安事件之範圍申報程序及其他應遵循事項(112.11.24訂定).md | 三、 > (三) | p.2-2 | leaf | context=三、 > (三)
對於核心系統異常，需滿足哪些特定條件（如影響時數或次數）才符合申報標準？,核心系統異常若在開盤期間影響交易達 2 小時以上未能恢復，或在10 日內就同一資安、系統異常事件通報次數達 3 次以上，即屬重大資安事件申報標準。,"根據提供的參考資料，對於核心系統異常，符合申報標準的特定條件是：

1. **影響時數**：開盤期間影響交易達2小時以上未能恢復。

2. **通報次數**：於10日內就同一資安、系統異常事件，通報次數達3次以上。

沒有提到其他具體的申報條件。",期貨商通報重大資安事件之範圍申報程序及其他應遵循事項(112.11.24訂定).md | 二、 > (一) | p.1-1 | leaf | context=二、 > (一) || 發函附件：資通系統安全防護基準自律規範111.12.23.md | 第四條 > 五、 | p.3-3 | leaf | context=第四條 > 五、 || 發函附件：資通系統安全防護基準自律規範111.12.23.md | 第五條 > 一、 | p.3-3 | leaf | context=第五條 > 一、
證券商在評選資訊服務供應商時，應評估其「集中度」並注意什麼樣的風險控管原則？,應評估資訊服務供應商的集中度與作業能力，並採取適當風險管控措施，且應注意適度分散委外對象，以控管作業風險。,"根據提供的參考資料，證券商在評選資訊服務供應商時，應評估其「集中度」並注意以下風險控管原則：

1. 評估資訊服務供應商的作業能力。

2. 采取適當的风险管控措施以確保作業委外處理的质量。

3. 注意作業委托資訊服务供应商的适度分散来控制作业风险。",發函附件：供應鏈風險管理自律規範111.12.23.md | 第三條 > 一、 | p.2-2 | leaf | context=第三條 > 一、 || 建立證券商資通安全檢查機制.md | 9、 > （4） > b. | p.11-11 | leaf | context=9、 > （4） > b. || 發函附件：供應鏈風險管理自律規範111.12.23.md | 第三條 > 二、 > (三) | p.2-2 | leaf | context=第三條 > 二、 > (三)
第一類證券商在採購服務或產品時，應載明於規劃設計時納入哪兩項安全機制（Security/Privacy by design）？,應載明於規劃設計時納入：(1) 機敏資料保護、授權與認證、安全性更新等資通安全機制，以及 (2) 隱私保護機制（Privacy by design）。,根據提供的參考資料，第一類證券商在採購服務或產品時應載明納入兩項安全機制：隱私 protection mechanism (隱私保護機制)。這些機制是指在規劃設計時即融入隱私 protection mechanism 的概念，在開發流程中的設計階段列出隱私 protection需求、辨識相關風險及套用控制措施，作為後續安全功能驗證的基礎。,發函附件：供應鏈風險管理自律規範111.12.23.md | 第四條 > 一、 > (二) > 4. | p.4-4 | leaf | context=第四條 > 一、 > (二) > 4. || 「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第二條 > 十一、 | p.2-2 | leaf | context=第二條 > 十一、 || 發函附件：供應鏈風險管理自律規範111.12.23.md | 第二條 > 十一、 | p.2-2 | leaf | context=第二條 > 十一、
根據第三條，第一類證券商應針對核心系統定義何種時間限制，並在逾越時自動登出？,應定義核心系統的閒置時間或可使用期限；當逾越所定許可閒置時間或可使用期限時，系統宜自動將使用者帳號登出。,根據提供的資料，第一類證券商應該針對核心系統定義閒置時間或使用期限，在超過這些時間限制時自動登出使用者帳號。但由於缺乏關於哪條為第三條以及詳細時間限制的信息，無法提供更具体的答案。,發函附件：資通系統安全防護基準自律規範111.12.23.md | 第三條 > 五、 | p.2-2 | leaf | context=第三條 > 五、 || 發函附件：資通系統安全防護基準自律規範111.12.23.md | 第三條 > 四、 | p.2-2 | leaf | context=第三條 > 四、 || 發函附件：資通系統安全防護基準自律規範111.12.23.md | 第六條 > 五、 | p.4-4 | leaf | context=第六條 > 五、
對於「電子式交易資通系統」，身分驗證失敗達幾次後應予以鎖定帳號，且鎖定時間至少多久？,一般資通系統帳號登入驗證失敗達 3 次後，至少 15 分鐘內不得再嘗試登入；若屬電子式交易資通系統，密碼輸入錯誤達 3 次時，應記錄失敗事件、鎖定帳號並中斷連線。,"根據提供的參考資料，對於「電子式交易資通系統」，使用者密碼輸入錯誤次數達三次者，應記錄登入失敗事件、鎖定該帳號並中斷連線；當解鎖申請時，應確實辨認身分，并留存相關紀錄後，始得解除鎖定。

因此可以得出：
- 身份驗證失敗次數為3次
- 當前帳號鎖定時間至少為15分鐘",發函附件：資通系統安全防護基準自律規範111.12.23.md | 第六條 > 五、 | p.4-4 | leaf | context=第六條 > 五、 || 發函附件：資通系統安全防護基準自律規範111.12.23.md | 第六條 > 六、 | p.4-4 | leaf | context=第六條 > 六、 || 建立期貨商資通安全檢查機制_所有條文.md | 第8條 > 8、 > (3) > e. | p.6-6 | leaf | context=第8條 > 8、 > (3) > e.
證券商在進行網路區域劃分時，應獨立劃分出哪些工作網段以落實網段隔離？,應至少依業務運作獨立劃分如：隔離區（DMZ）、營運區（Production）、**測試區（UT 或 UAT）**及其他必要網段。,證券商在進行網路區域劃分時，應獨立劃分出的網段包括不同部門或業務性的VLAN網段。具體來說，證券商需要依據組織內部單位、部門和業務性質來劃分不同的網段（VLAN），並規範這些網段之間的存取權限，以落實網段隔離。,發函附件：網路安全防護自律規範111.12.23.md | 第三條 > 二、 > (五) | p.2-2 | leaf | context=第三條 > 二、 > (五) || 發函附件：網路安全防護自律規範111.12.23.md | 第三條 > 二、 > (四) | p.2-2 | leaf | context=第三條 > 二、 > (四) || 發函附件：網路安全防護自律規範111.12.23.md | 第三條 > 二、 > (一) | p.2-2 | leaf | context=第三條 > 二、 > (一)
證券商對於已達到生命週期終止（EOS/EOL）之網路設備，應採取什麼樣的管理作為？,應避免使用 EOS/EOL 網路設備，並應針對這類設備擬定汰除相關計畫。,"證券商對於已達到生命週期終止（EOS/EOL）之網路設備，應採取以下管理作為：

- 達到 EOS/EOL 情況下，證券商應避免使用這些過時的網路設備。
- 經由第四條「網路安全防護自律規範111.12.23」與「網路安全防護自律規範完整條文」文件得知，證券商需針對 EOS/EOL 的網路設備擬定汰除相關計畫。

總結來說，證券商應制定並實施針對EOS/EOL設備的淘汰計劃。",發函附件：網路安全防護自律規範111.12.23.md | 第四條 > 一、 > (一) | p.2-3 | leaf | context=第四條 > 一、 > (一) || 「網路安全防護自律規範」完整條文.md | 第四條 > 一、 > (一) | p.3-3 | leaf | context=第四條 > 一、 > (一) || 發函附件：網路安全防護自律規範111.12.23.md | 第四條 > 一、 > (五) | p.3-3 | leaf | context=第四條 > 一、 > (五)
在本基準中，定義「重要的資料」或「重要的本體裝置」時，主要考量的三項準則為何？,三項準則是：(1) 發生問題時會在金融服務功能面影響多數客戶且不易有替代方案；(2) 一旦被破壞或竄改，會對資訊系統運轉造成極大影響；(3) 客戶資料本身。,"在本基準中，定義「重要的資料」或「重要的本體裝置」的主要考量三項準則為：

1. 当該事件發生時，在提供金融服務的功能面（如提領現金、資金調撥等）上，對多數客戶發生影響，同時可以假設為不易有替代方案的情況。

2. 当該事件發生被破壞或篡改時，對資訊系統的運轉有極大的影響。",金融機構資訊系統安全基準.md | 參、 > (伍) > 一、 > (三) | p.9-9 | leaf | context=參、 > (伍) > 一、 > (三) || 金融機構資訊系統安全基準.md | 參、 > (伍) > 一、 > (一) | p.9-9 | leaf | context=參、 > (伍) > 一、 > (一) || 金融機構資訊系統安全基準.md | 參、 > (伍) > 一、 > (二) | p.9-9 | leaf | context=參、 > (伍) > 一、 > (二)
