問題,標準答案,LLM答案,LLM答案路徑
根據第九條，消費者取得帳號密碼後，若超過多久時間未再辦理網路投保或保險服務，則該帳號需重新驗證？,若自申請完成後 五年內 都未再與該保險業辦理網路投保或網路保險服務，則必須重新完成身分驗證後，才能再使用該帳號密碼。,根據提供的參考資料，缺乏第九條具體規定消費者帳號密碼有效期限的信息。因此無法確定超出多久時間後需要重新驗證。,保險業經營電子商務自律規範全條文(114.11.10金管保綜字第1140433678號).md | 第九條 | p.4-4 | leaf | context=第九條 || 保險業辦理資訊安全防護自律規範-5.md | 四、 > (四) | p.1-1 | leaf | context=四、 > (四) || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 四、 > (四) | p.22-22 | leaf | context=第 22 條 > 四、 > (四)
第十九條規定，對於未經消費者授權之交易所產生的爭議，保險業與消費者的責任歸屬原則為何？,原則上，除非消費者有故意或重大過失，否則未經授權之交易由消費者不負責任；保險業並應協調合作金融機構協助處理爭議。,根據參考資料1中的信息，未經消費者授權的交易，保險業與消費者之間產生爭議時，原則上由消費者不需負擔責任，除非消費者有故意或重大過失。,"保險業經營電子商務自律規範全條文(114.11.10金管保綜字第1140433678號).md | 第十九條 > 四、 | p.8-9 | leaf | context=第十九條 > 四、 || 8.FCM內控CC---柒、電腦作業與資訊提供---114.04.md |  | p.None-None | table_chunk | table_id=8.FCM內控CC---柒、電腦作業與資訊提供---114.04_table_39,row=1,col=3,chunk=3 || 保險業經營電子商務自律規範全條文(114.11.10金管保綜字第1140433678號).md | 第十七條 > 二、 | p.8-8 | leaf | context=第十七條 > 二、"
根據第四條，員工職務異動或離職時，應依據何種程序處理其資訊資產與存取權限？,應依公司既定程序辦理資訊資產退回，並辦理存取權限之變更或取消。,根據參考資料1中的規定，員工職務異動或離職時，應該依據既定程序處理其資訊資產退回與存取權限變更或取消。,保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 4 條 > 五、 | p.1-1 | leaf | context=第 4 條 > 五、 || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 4 條 > 一、 | p.2-2 | leaf | context=第 4 條 > 一、 || 建立期貨商資通安全檢查機制_所有條文.md | 第4條 > 4、 > (4) | p.2-2 | leaf | context=第4條 > 4、 > (4)
對於第一類及第二類電腦系統的權限配發，應遵循哪兩項核心原則（Least Privilege 與 Need-to-know）？,目前在已上傳保險業規範中，可明確找到的是最小權限原則；但「Need-to-know（知悉必要）」在目前可檢索內容中未找到明文。因此可確認的答案是：應遵循最小權限原則；至於「知悉必要原則」目前無法以現有檔案直接證實。,"根據提供的參考資料，對於第一類及第二類電腦系統的權限配發，應遵循兩項核心原則：

1. **最小權限（Least Privilege）**：這是確保用戶只能獲得完成工作所需的最小權限。
2. **僅知原則（Need-to-know）**：這意味著人員只有在真正需要該資訊的情況下才獲准存取相關系統和資料。

這些原則旨在確保資料的安全性和保護機密性。","金融機構資通安全防護基準.md | 第四條 > 十二、 | p.2-2 | leaf | context=第四條 > 十二、 || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 4 條 > 十二、 | p.2-3 | leaf | context=第 4 條 > 十二、 || 金融機構資訊系統安全基準.md |  | p.None-None | table_chunk | table_id=金融機構資訊系統安全基準_table_26,row=21,col=4,chunk=1"
委託專業機構辦理 App 資安檢測時，應參考哪兩個主要的資安檢測基準？,應參考 經濟部工業局「行動應用 APP 基本資安檢測基準」 與 OWASP 公布之 Mobile Top 10 項目。,委託專業機構辦理App資安檢測時，應參考的主要基準是工業局「動態應用APP基本資安檢測基準」以及OWASP公布的Mobile Top 10項目。,"保險業辦理資訊安全防護自律規範-2.md | 五、 > (一) > 1. | p.1-1 | leaf | context=五、 > (一) > 1. || 保險業辦理資訊安全防護自律規範-2.md | 五、 > (三) > 4. | p.2-2 | leaf | context=五、 > (三) > 4. || 8.FCM內控CC---柒、電腦作業與資訊提供---114.04.md |  | p.None-None | table_chunk | table_id=8.FCM內控CC---柒、電腦作業與資訊提供---114.04_table_38,row=1,col=3,chunk=4"
針對第一類 App，若偵測到行動裝置疑似遭破解（如 Root 或 Jailbreak），系統應如何提示使用者？,應提示使用者注意風險。,系統須偵測行動作業系統保護層是否被破解（如 Root 或 Jailbreak），如有，應主動通知使用者。根據提供的參考資料，這屬於新興科技資通安全自律規範中的規定。针对第一類 App 的情況下，若偵測到行動裝置疑似遭破解，系統應提示使用者注意風險並限制某些功能，例如電子轉帳及交易指示類之非約定轉帳服務。,"「新興科技資通安全自律規範」完整條文-114.05.md | 12 | p.6-13 | table_chunk | table_id=「新興科技資通安全自律規範」完整條文-114.05_table_6,row=9,col=4,chunk=1 || 1110921新興科技資通安全自律規範及修正對照表.md | 12 | p.5-22 | table_chunk | table_id=1110921新興科技資通安全自律規範及修正對照表_table_13,row=3,col=4,chunk=1 || 附件1_金融機構提供行動裝置應用程式作業規範.md | 第五條 | p.2-2 | leaf | context=第五條"
在雲端服務安全控管中，哪一類服務被明確排除在規範範圍之外？,被排除的是：僅提供會員公司內部使用，且不涉及客戶資料處理之服務。,在雲端服務安全控管中，金融機構的規範範圍不包含僅提供銀行內部使用的服務。,保險業辦理資訊安全防護自律規範-3.md | 貳、 > 二、 | p.1-1 | leaf | context=貳、 > 二、 || 附件1_金融機構運用新興科技作業規範1090417.md | 第二條 > 三、 | p.2-2 | leaf | context=第二條 > 三、 || 保險業辦理資訊安全防護自律規範-3.md | 貳、 > 二、 | p.2-2 | leaf | context=貳、 > 二、
規範要求社群媒體的內容過濾與監視政策，應至少包含防止哪些機密或隱私外洩的情事？,應至少包含防止 客戶隱私 與 銀行／機構機密 外洩。,根據提供的參考資料，規範要求社群媒體的內容過濾與監視政策至少包含防止客戶隱私及銀行機密外洩的情事。但資料中沒有提到其他具體需要監控的內容，如非授權或偽冒身分發言、攻擊或詆毀同業等細節。,"附件1_金融機構運用新興科技作業規範1090417.md | 第三條 > 六、 | p.5-5 | leaf | context=第三條 > 六、 || 金融機構資訊系統安全基準.md |  | p.None-None | table_chunk | table_id=金融機構資訊系統安全基準_table_12,row=3,col=4,chunk=1 || 金融機構資訊系統安全基準.md |  | p.None-None | table_chunk | table_id=金融機構資訊系統安全基準_table_29,row=3,col=4,chunk=1"
根據第五條，物聯網設備的初始密碼變更，在長度與組成上有何具體建議？,密碼長度不應少於八位，建議英數字混合使用，且宜包含大小寫英文字母或符號。,"根據第五條建議，物聯網設備的初始密碼變更應具備以下特點：

- 密碼長度不應少於八位；
- 建議採用英數字混合使用；
- 宜包含大小寫英文字母或符號；
- 以最小權限原則針對不同的使用者身分進行授權。",金融機構使用物聯網設備安全控管規範_1100430.md | 第五條 | p.1-1 | leaf | context=第五條 || 保險業辦理資訊安全防護自律規範-4.md | 五、 | p.1-1 | leaf | context=五、 || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 五、 | p.21-21 | leaf | context=第 22 條 > 五、
若物聯網設備存在已知弱點且無法修補，應採取哪些網路連線限制或監控措施？,應限制網際網路連線能力、加強存取控制，或進行網路連線行為監控；並視需要訂定汰換期程。,"若物聯網設備存在已知弱點且無法修補，應採取的網路連線限制或監控措施包括：

1. 關閉不必要之網路連線及服務，避免使用對外公開的位置。
2. 增強存取控制。
3. 加強存取控制並進行監控。

根據金融機構使用的物聯網設備安全管控規範，當存在已知弱點且無法修補時，應視需要訂定汰換期程。","保險業辦理資訊安全防護自律規範-4.md | 九、 | p.1-1 | leaf | context=九、 || 8.FCM內控CC---柒、電腦作業與資訊提供---114.04.md |  | p.None-None | table_chunk | table_id=8.FCM內控CC---柒、電腦作業與資訊提供---114.04_table_47,row=1,col=3,chunk=2 || 金融機構使用物聯網設備安全控管規範_1100430.md | 第十條 | p.2-2 | leaf | context=第十條"
採用靜態密碼進行身分驗證時，密碼連續錯誤達幾次後，公司應進行妥善處理？,連續錯誤達 五次。,"根據參考資料，採用靜態密碼進行身分驗證時，密碼連續錯誤達五次後，公司應進行妥善處理。这可以在以下兩則參考資料中找到：

[參考資料1]
文件類型: leaf
檔名: 保險業辦理資訊安全防護自律規範-5.md
路徑: 三、 > (五)
頁碼: 1 - 1

根據這個規定，密碼錯誤達五次後，各公司應做妥善處理。",保險業辦理資訊安全防護自律規範-5.md | 三、 > (五) | p.1-1 | leaf | context=三、 > (五) || 保險業辦理資訊安全防護自律規範-5.md | 三、 > (九) | p.1-1 | leaf | context=三、 > (九) || 發函附件：資通系統安全防護基準自律規範111.12.23.md | 第六條 > 六、 | p.4-4 | leaf | context=第六條 > 六、
規範中定義的多因子驗證 (MFA)，其安全設計必須具有哪三項技術中的任兩項？,三項技術為：(1) 用戶與保險業所約定且無第三人知悉之資訊，如密碼、圖形鎖、手勢等；(2) 用戶所持有之設備，如密碼產生器、密碼卡、晶片卡、電腦、行動裝置、憑證載具等；(3) 用戶擁有之生物特徵，如指紋、臉部、虹膜、聲音、掌紋、靜脈、簽名等。規範要求安全設計須具備其中任兩項以上。,"根據提供的參考資料，規範中定義的多因子驗證(MFA)的安全設計必須具有以下三項技術中的任兩項：

1. 公司所約定之資訊，且無第三人知悉（如固定密碼、圖形鎖或手勢等）。
2. 未知資訊：需進一步確認具體內容。

由於資料不足，無法確定第二個必要技術細節。","保險業辦理資訊安全防護自律規範-5.md | 二、 > (二) | p.1-1 | leaf | context=二、 > (二) || 保險業辦理資訊安全防護自律規範(113.07.18金管保綜字第1130138369號 ).md | 第 22 條 > 二、 > (二) | p.22-22 | leaf | context=第 22 條 > 二、 > (二) || 8.FCM內控CC---柒、電腦作業與資訊提供---114.04.md |  | p.None-None | table_chunk | table_id=8.FCM內控CC---柒、電腦作業與資訊提供---114.04_table_12,row=1,col=3,chunk=1"
在招標作業階段，若委外廠商未符合資安要求事項或服務水準，合約應如何訂定罰責？,應訂定罰責標準，並依損害程度向委外廠商進行求償或罰款。,"在招標作業階段，若委外廠商未符合資安要求事項或服務水準，合約應該訂定罰責標準。根據提供的參考資料2和3，應依損害程度向委外廠商進行求償或罰款。

具體而言：
- 在招標文件中制定時就應包含對委外廠商的罰責標準。
- 決標後與委外廠商簽約時，合約內容應包括委外廠商管規範，且需指定專案負責人督導資安要求事項。

資料3特別提到在決標作業階段中，還需要明確委外廠商的人員管控，這也是罰責的一環。","「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 10 | p.6-9 | table_chunk | table_id=「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文_table_1,row=11,col=4,chunk=1 || 保險業辦理資訊安全防護自律規範-6.md | 四、 > (一) > 3. | p.1-1 | leaf | context=四、 > (一) > 3. || 保險業辦理資訊安全防護自律規範-6.md | 五、 > (一) | p.2-2 | leaf | context=五、 > (一)"
驗證作業階段中，針對「系統發展類」的委外項目，應要求廠商提供何種安全性檢測證明？,應要求廠商提供資訊系統之安全性檢測證明，例如：源碼檢測、弱點掃描或滲透測試等。,"針對「系統發展類」的委外項目，在驗證作業階段中，根據提供的參考資料，應要求廠商提供以下的安全性檢測證明：

- 源碼檢測
- 弱點掃瞄
- 激滲透測試

這些檢測都是為了確保系統開發過程中的安全性。","「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 10 | p.6-9 | table_chunk | table_id=「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文_table_2,row=15,col=4,chunk=1 || 保險業辦理資訊安全防護自律規範-6.md | 七、 > (二) > 2. | p.2-2 | leaf | context=七、 > (二) > 2. || 建立證券商資通安全檢查機制.md | 9、 > （4） > c. | p.11-11 | leaf | context=9、 > （4） > c."
根據第二條，將保單內容拆分為兩部分時，「電子化保險契約條款」可以採哪兩種形式提供給保戶？,可採 QR Code 或 網址 的形式提供。,根據第二條的規定，「電子化保險契約條款」可以採用 QR Code 和網址兩種形式提供給保戶。,"保險業辦理電子保單簽發及辦理電子化保險契約條款保單作業自律規範 .md | 第 一 章 > 第 2 條 > 二、 | p.2-2 | leaf | context=第 一 章 > 第 2 條 > 二、 || 保險業經營電子商務自律規範全條文(114.11.10金管保綜字第1140433678號).md | 8.5 | p.6-7 | table_chunk | table_id=保險業經營電子商務自律規範全條文(114.11.10金管保綜字第1140433678號)_table_5,row=7,col=2,chunk=1 || 保險業辦理電子保單簽發及辦理電子化保險契約條款保單作業自律規範 .md | 第 一 章 > 第 2 條 > 一、 | p.2-2 | leaf | context=第 一 章 > 第 2 條 > 一、"
保險業保存已簽發之電子保單交易紀錄時，對於儲存媒體與備份頻率有何要求？,應使用加密之特定媒體儲存，並委託公信第三者保存，且應定期製作備份資料。,"根據提供的參考資料，關於保險業在保存已簽發的電子保單交易紀錄時對於儲存媒體與備份頻率的要求如下：

1. **儲存媒體**：應使用加密的特定媒體進行儲存。
2. **備份要求**：定期製作備份資料。

具體來說：
- 需要使用加密的特定媒體來儲存這些交易紀錄。
- 為了防止數據遺失或被篡改，必須定期製作備份資料。",保險業辦理電子保單簽發及辦理電子化保險契約條款保單作業自律規範 .md | 第 二 章 > 第 4 條 | p.3-3 | leaf | context=第 二 章 > 第 4 條 || 保險業經營電子商務自律規範全條文(114.11.10金管保綜字第1140433678號).md | 第二十一條 | p.9-9 | leaf | context=第二十一條 || 保險業辦理電子保單簽發及辦理電子化保險契約條款保單作業自律規範 .md | 第 二 章 > 第 3 條 > 三、 | p.3-3 | leaf | context=第 二 章 > 第 3 條 > 三、
根據第三條，期貨商的資訊安全人員及主管每年應參加多少小時以上的資安專業課程訓練？,每年應參加 十五小時以上。,根據提供的參考資料，第三條提到期貨商的資訊安全人員及主管每年應參加十五小時以上的資安專業課程訓練。,建立期貨商資通安全檢查機制_所有條文.md | 第3條 > 3、 > (3) | p.1-2 | leaf | context=第3條 > 3、 > (3) || 建立期貨商資通安全檢查機制_所有條文.md | 第5條 > 5、 > (3) | p.2-2 | leaf | context=第5條 > 5、 > (3) || 建立期貨商資通安全檢查機制_所有條文.md | 第5條 > 5、 > (4) | p.2-2 | leaf | context=第5條 > 5、 > (4)
期貨商對於核心系統的重要組態設定檔案，應採取何種安全保護措施（如加密或儲存方式）？,應依所屬資安分級，對核心系統重要組態設定檔案及其他具保護需求之資訊，進行加密或以其他適當方式儲存。,"根據提供的參考資料，期貨商對於核心系統的重要組態設定檔案應該採取的安全保護措施包括：

1. 加密：在行動應用程式傳送及儲存敏感性資料時，應使用加密機制確保資料的傳送及儲存安全。

2. 去識別化：在使用時進行適當的去識別化處理。

3. 安全存儲：重要軟體及其文件、清冊應抄錄備份存於另一安全處所。若備份檔案及軟體儲存在同一建築物內，則需鎖存於防火且防震的安全櫃中。

4. 标签注明：存放備份資料的儲存媒體上應標明存放資料的名稱及保存期限。

5. 建立相關處理程序：以防資料洩露或不當使用。",建立期貨商資通安全檢查機制_所有條文.md | 第9條 > 9、 > (11) > b. | p.8-8 | leaf | context=第9條 > 9、 > (11) > b. || 建立期貨商資通安全檢查機制_所有條文.md | 第7條 > 7、 > (2) > c. | p.5-5 | leaf | context=第7條 > 7、 > (2) > c. || 建立期貨商資通安全檢查機制_所有條文.md | 第8條 > 8、 > (5) > c. | p.6-6 | leaf | context=第8條 > 8、 > (5) > c.
證券商對於資訊資產的資料與文件，在保存期限到期後應如何處理？,應於保存期限到期後，進行刪除與銷毀。,根據提供的參考資料，證券商對於資訊資產的資料與文件在保存期限到期後應該處理方式為：進行刪除與銷毀。,"8.FCM內控CC---柒、電腦作業與資訊提供---114.04.md |  | p.None-None | table_chunk | table_id=8.FCM內控CC---柒、電腦作業與資訊提供---114.04_table_6,row=1,col=3,chunk=3 || 建立證券商資通安全檢查機制.md | 4、 > （4） | p.2-2 | leaf | context=4、 > （4） || 建立期貨商資通安全檢查機制_所有條文.md | 第4條 > 4、 > (4) | p.2-2 | leaf | context=第4條 > 4、 > (4)"
針對「異常 IP 登入」的監控，規範列舉了哪三種應設有警示機制的具體態樣？,三種態樣為：同一來源 IP 登入不同帳號達一定次數以上、同一帳號在一定時間內由不同國家登入、異常來源（如 F-ISAC 黑名單或國外 IP）嘗試登入。,"針對「異常 IP 登入」的監控，規範列舉了以下三種應設有警示機制的具體態樣：

(a)同一來源 IP 登入不同帳號達一定次數以上。

(b)同一帳號在一定時間內由不同國家登入。

(c)發現異常來源（如金融資安資訊分享與分析中心 F-ISAC公布的黑名單或國外 IP）嘗試登入。","8.FCM內控CC---柒、電腦作業與資訊提供---114.04.md |  | p.None-None | table_chunk | table_id=8.FCM內控CC---柒、電腦作業與資訊提供---114.04_table_17,row=1,col=3,chunk=2 || 建立證券商資通安全檢查機制.md | 7、 > （1） > l. | p.6-6 | leaf | context=7、 > （1） > l. || 建立期貨商資通安全檢查機制_所有條文.md | 第7條 > 7、 > (1) > k. | p.4-5 | leaf | context=第7條 > 7、 > (1) > k."
發行人於交易平台辦理發行之虛擬通貨（STO），其種類僅限於哪兩種類型？,僅限於 不具有股東權益之分潤型虛擬通貨 與 債務型虛擬通貨。,"根據提供的參考資料，發行人於交易平台辦理發行的虛擬通貨種類僅限於以下兩種類型：

1. 不具備股東權益的分潤型虛擬通貨；
2. 不具備股東權益的債務型虛擬通貨。

這兩種類型符合第一項及第二項的規定。","財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120.md |  | p.None-None | table_chunk | table_id=財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120_table_11,row=3,col=2,chunk=1 || 財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120.md |  | p.None-None | table_chunk | table_id=財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120_table_2,row=1,col=2,chunk=1 || 財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120.md |  | p.None-None | table_chunk | table_id=財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120_table_11,row=3,col=1,chunk=1"
專業投資人中之「自然人」，認購每一虛擬通貨募資案的金額上限是多少？,上限為 新臺幣三十萬元。,專業投資人中之「自然人」認購每一虛擬通貨募資案的金額上限是新臺幣三十萬元。,"財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120.md |  | p.None-None | table_chunk | table_id=財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120_table_15,row=1,col=1,chunk=1 || 財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120.md |  | p.None-None | table_chunk | table_id=財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120_table_15,row=1,col=2,chunk=2 || 財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120.md |  | p.None-None | table_chunk | table_id=財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120_table_15,row=3,col=2,chunk=1"
本注意事項所定義的「重大性」委託作業，包含哪三種具體情形？,包含三種情形：(1) 委外作業無法提供服務或有資訊安全疑慮，對期貨商業務營運有重大影響者；(2) 委外作業涉及客戶資料安全事件，對期貨商或客戶權益有重大影響者；(3) 其他委外作業對期貨商或客戶權益有重大影響者。,根據提供的參考資料，沒有直接說明「重大性」委託作業具體包含哪三種具體情形。參考資料主要討論的是受託契約的重要內容、開戶手續及審核作業和金融消費者保護管理等方面的事項，但未提及「重大性」委託作業所涵蓋的具體情形。因此，無法根據這些資料回答問題。,"2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_3,row=1,col=3,chunk=4 || 2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_26,row=1,col=3,chunk=3 || 金融機構資訊系統安全基準.md |  | p.None-None | table_chunk | table_id=金融機構資訊系統安全基準_table_12,row=21,col=4,chunk=1"
期貨商辦理跨境委外作業時，其當年度的查核報告應在年度終了後多久內提報董事會？,應於每年年度終了後四個月內提報董事會報告。,根據提供的參考資料，期貨商辦理跨境委外作業時，其當年度的查核報告應在年度終了後四個月內提報董事會。這可以在兩則相關資料中找到明確表述，其中一則直接提到「每年年度終了後四個月內」，另一則雖然討論的是不同內容（資訊系統安全檢測），但最後也強調「每一年度」應辦理查核報告並提報董事會。,"期貨商作業委託他人處理應注意事項逐點說明.md |  | p.None-None | table_chunk | table_id=期貨商作業委託他人處理應注意事項逐點說明_table_11,row=1,col=2,chunk=3 || 9.FCM內控CM---捌、管理控制制度---114.04.md |  | p.None-None | table_chunk | table_id=9.FCM內控CM---捌、管理控制制度---114.04_table_22,row=1,col=3,chunk=1 || 9.FCM內控CM---捌、管理控制制度---114.04.md |  | p.None-None | table_chunk | table_id=9.FCM內控CM---捌、管理控制制度---114.04_table_29,row=1,col=3,chunk=4"
法人採通信或電子化方式開戶時，對於公司的股東人數與國籍身分有何限制？,限於本國公司法登記股東為三人以下之公司，且其負責人及股東均須為本國國籍成年自然人。,"法人採通信或電子化方式開戶時，根據提供的參考資料：

- 限於公司登記股東少於3人的公司。
- 負責人及股東均需為本國國籍成年自然人。

以上就是可從資料中獲得的關於法人開戶限制的信息。","2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_34,row=1,col=3,chunk=1 || 2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_35,row=1,col=2,chunk=1 || 2.FCM內控CA---壹、業務及收入循環 ---114.04.md |  | p.None-None | table_chunk | table_id=2.FCM內控CA---壹、業務及收入循環 ---114.04_table_36,row=1,col=2,chunk=1"
委託人在網頁簽署開戶契約前，系統對於其閱讀完整內容的時間有何防護設計？,系統應要求：從點選進入相關內容到同意簽署確認前，畫面停留時間須以可以適當閱讀完整內容為依據。,"根據參考資料，委託人在網頁簽署開戶契約前的系統防護設計主要涉及閱讀完整內容的時間控制。這項措施應在保護客戶資訊方面採取，但具體到電子銀行業務的安全管控基準中未有詳細說明。

對於簽署開戶契約前的頁面顯示時間限制，參考資料3提及的是採用法人戶及其負責人貸款契約成立的安全設計機制。這意味著可能存在類似的防護措施來確保客戶閱讀完整內容。然而，這些信息並不適用於開戶契約簽署的情況。

因此，無法直接從提供的資料中得出委託人在網頁簽署開戶契約前系統對於其閱讀完整內容所需時間的具體設計。","金融機構資訊系統安全基準.md |  | p.None-None | table_chunk | table_id=金融機構資訊系統安全基準_table_28,row=5,col=4,chunk=1 || 金融機構資訊系統安全基準.md |  | p.None-None | table_chunk | table_id=金融機構資訊系統安全基準_table_11,row=5,col=4,chunk=1 || 金融機構辦理電子銀行業務安全控管作業基準含附錄1150107.md | 12.120.8.4 | p.137-160 | table_chunk | table_id=金融機構辦理電子銀行業務安全控管作業基準含附錄1150107_table_119,row=7,col=5,chunk=1"
期貨商發生重大資安事件時，應於知悉事件後多久時間內完成初步通報？,應於 30 分鐘內 完成初步（正式）通報。,根據參考資料1和3的內容，期貨商發生重大資安事件時應在知悉後30分鐘內完成初步通報。,"財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120.md |  | p.None-None | table_chunk | table_id=財團法人中華民國證券櫃檯買賣中心證券商經營自行買賣具證券性質之虛擬通貨業務管理辦法1090120_table_11,row=1,col=1,chunk=2 || 期貨商通報重大資安事件之範圍申報程序及其他應遵循事項(112.11.24訂定).md | 三、 > (二) | p.2-2 | leaf | context=三、 > (二) || 期貨商通報重大資安事件之範圍申報程序及其他應遵循事項(112.11.24訂定).md | 三、 > (一) | p.1-2 | leaf | context=三、 > (一)"
對於核心系統異常，需滿足哪些特定條件（如影響時數或次數）才符合申報標準？,核心系統異常若在開盤期間影響交易達 2 小時以上未能恢復，或在10 日內就同一資安、系統異常事件通報次數達 3 次以上，即屬重大資安事件申報標準。,"根據參考資料，對於核心系統異常需滿足的特定條件是：

- 影響時數達2小時以上未能恢復；
- 10日內通報次數達3次以上。

這兩項條件須同時滿足才符合申報標準。",期貨商通報重大資安事件之範圍申報程序及其他應遵循事項(112.11.24訂定).md | 二、 > (一) | p.1-1 | leaf | context=二、 > (一) || 發函附件：資通系統安全防護基準自律規範111.12.23.md | 第四條 > 五、 | p.3-3 | leaf | context=第四條 > 五、 || 發函附件：資通系統安全防護基準自律規範111.12.23.md | 第五條 > 一、 | p.3-3 | leaf | context=第五條 > 一、
證券商在評選資訊服務供應商時，應評估其「集中度」並注意什麼樣的風險控管原則？,應評估資訊服務供應商的集中度與作業能力，並採取適當風險管控措施，且應注意適度分散委外對象，以控管作業風險。,"證券商在評選資訊服務供應商時，應該評估其「集中度」並注意以下風險管控原則：

1. 評估資訊服務供應商的作業能力。
2. 參照適當的风险管控措施來確保作業委外處理的质量。
3. 注意委託資訊服務供應商的適度分散以控制作業風險。","發函附件：供應鏈風險管理自律規範111.12.23.md | 第三條 > 一、 | p.2-2 | leaf | context=第三條 > 一、 || 建立證券商資通安全檢查機制.md | 9、 > （4） > b. | p.11-11 | leaf | context=9、 > （4） > b. || 8.FCM內控CC---柒、電腦作業與資訊提供---114.04.md |  | p.None-None | table_chunk | table_id=8.FCM內控CC---柒、電腦作業與資訊提供---114.04_table_30,row=1,col=3,chunk=4"
第一類證券商在採購服務或產品時，應載明於規劃設計時納入哪兩項安全機制（Security/Privacy by design）？,應載明於規劃設計時納入：(1) 機敏資料保護、授權與認證、安全性更新等資通安全機制，以及 (2) 隱私保護機制（Privacy by design）。,根據提供的參考資料，第一類證券商在採購服務或產品時，應載明納入兩項安全機制：隱私保護機制（Privacy by design）。此規定見於多個文件中。,發函附件：供應鏈風險管理自律規範111.12.23.md | 第四條 > 一、 > (二) > 4. | p.4-4 | leaf | context=第四條 > 一、 > (二) > 4. || 「期貨業資通系統與服務供應鏈風險管理自律規範」完整條文.md | 第二條 > 十一、 | p.2-2 | leaf | context=第二條 > 十一、 || 發函附件：供應鏈風險管理自律規範111.12.23.md | 第二條 > 十一、 | p.2-2 | leaf | context=第二條 > 十一、
根據第三條，第一類證券商應針對核心系統定義何種時間限制，並在逾越時自動登出？,應定義核心系統的閒置時間或可使用期限；當逾越所定許可閒置時間或可使用期限時，系統宜自動將使用者帳號登出。,根據參考資料，第一類證券商需要針對核心系統定義閒置時間或可使用期限與使用情況及條件，但沒有提到詳細的自動登出時間限制。,發函附件：資通系統安全防護基準自律規範111.12.23.md | 第三條 > 五、 | p.2-2 | leaf | context=第三條 > 五、 || 發函附件：資通系統安全防護基準自律規範111.12.23.md | 第三條 > 四、 | p.2-2 | leaf | context=第三條 > 四、 || 發函附件：資通系統安全防護基準自律規範111.12.23.md | 第六條 > 五、 | p.4-4 | leaf | context=第六條 > 五、
